"No.","Time","Source","Destination","Protocol","Length","Info"
"21","0.030637","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","118","Change Cipher Spec, Application Data"
"22","0.032153","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","118","Change Cipher Spec, Application Data"
"23","0.032276","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54377  >  https(443) [FIN, ACK] Seq=582 Ack=2722 Win=131072 Len=0"
"24","0.032468","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","140","Application Data"
"25","0.032815","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","393","Application Data"
"26","0.035349","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","566","Application Data, Application Data"
"27","0.036026","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","85","Application Data"
"28","0.036401","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","85","Application Data"
"29","0.036403","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","566","Application Data, Application Data"
"30","0.036410","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54377 [FIN, ACK] Seq=3234 Ack=583 Win=30720 Len=0"
"31","0.036534","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54377  >  https(443) [RST, ACK] Seq=583 Ack=3234 Win=0 Len=0"
"32","0.038933","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54376 [ACK] Seq=3264 Ack=1038 Win=31744 Len=0"
"33","0.080355","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=3264 Win=130560 Len=0"
"34","0.457408","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=3264 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"35","0.459316","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"36","0.459412","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=4655 Win=131072 Len=0"
"37","0.459764","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=4655 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"38","0.461060","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"39","0.461061","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=6046 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"40","0.461063","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"41","0.461068","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"42","0.461070","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","477","Application Data"
"43","0.461071","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1102","Application Data"
"44","0.461072","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1102","[TCP Retransmission] https(443)  >  54376 [PSH, ACK] Seq=10219 Ack=1038 Win=31744 Len=1048"
"45","0.461205","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","66","54376  >  https(443) [ACK] Seq=1038 Ack=11267 Win=131072 Len=0 SLE=10219 SRE=11267"
"46","0.528965","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=11267 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"47","0.528967","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"48","0.528968","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=12658 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"49","0.529071","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=13908 Win=131072 Len=0"
"50","0.530969","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"51","0.530970","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=14049 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"52","0.530972","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"53","0.530977","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","336","Application Data"
"54","0.530978","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=16831 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"55","0.530979","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"56","0.531069","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=18222 Win=131072 Len=0"
"57","0.533485","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=18222 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"58","0.533488","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"59","0.533489","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=19613 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"60","0.533494","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"61","0.533495","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=21004 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"62","0.533496","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"63","0.533497","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=22395 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"64","0.533498","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"65","0.533499","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=23786 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"66","0.533500","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"67","0.533501","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=25177 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"68","0.533502","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"69","0.533503","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=26568 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"70","0.533504","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","224","Application Data, Application Data"
"71","0.533505","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=27988 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"72","0.533506","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"73","0.533507","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=29379 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"74","0.533508","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"75","0.533509","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=30770 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"76","0.533510","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"77","0.533511","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=32161 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"78","0.533512","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"79","0.533514","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","336","Application Data"
"80","0.533515","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=34943 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"81","0.533516","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"82","0.533517","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=36334 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"83","0.533964","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=37584 Win=131072 Len=0"
"84","0.534823","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"85","0.534824","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=37725 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"86","0.534826","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"87","0.534827","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=39116 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"88","0.534832","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"89","0.534833","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=40507 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"90","0.534834","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"91","0.534835","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1017","Application Data"
"92","0.534924","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=42861 Win=131072 Len=0"
"93","0.597048","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1017","[TCP Spurious Retransmission] , Application Data"
"94","0.597115","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","66","[TCP Dup ACK 92#1] 54376  >  https(443) [ACK] Seq=1038 Ack=42861 Win=131072 Len=0 SLE=41898 SRE=42861"
"95","0.623767","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=42861 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"96","0.623769","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"97","0.623770","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=44252 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"98","0.623776","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"99","0.623777","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=45643 Ack=1038 Win=31744 Len=1250 [TCP segment of a reassembled PDU]"
"100","0.623778","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","792","Application Data, Application Data"
"101","0.623779","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","85","Application Data"
"102","0.623901","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1038 Ack=47662 Win=131072 Len=0"
"107","0.829840","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","201","Application Data"
"109","0.843381","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","924","Application Data"
"110","0.843384","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","85","Application Data"
"111","0.843508","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1185 Ack=48563 Win=130304 Len=0"
"114","0.850525","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","135","Application Data"
"117","0.859426","eduroam-int-dhcp-97-88-25.ucl.ac.uk","cds.j3z9t3p6.hwcdn.net","TCP","66","54378  >  https(443) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"118","0.862024","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","66","https(443)  >  54378 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1250 SACK_PERM=1 WS=512"
"119","0.862190","eduroam-int-dhcp-97-88-25.ucl.ac.uk","cds.j3z9t3p6.hwcdn.net","TCP","54","54378  >  https(443) [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"120","0.863445","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","133","Application Data"
"121","0.863760","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","139","Application Data"
"122","0.864030","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","138","Application Data"
"124","0.867822","eduroam-int-dhcp-97-88-25.ucl.ac.uk","cds.j3z9t3p6.hwcdn.net","TLSv1.3","571","Client Hello"
"126","0.870540","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","130","Application Data"
"127","0.870798","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","137","Application Data"
"128","0.870821","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=48563 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"129","0.870823","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"130","0.870824","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=49954 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"131","0.870830","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","195","Application Data"
"132","0.870831","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=51345 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"133","0.870833","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=52595 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"134","0.870834","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=53845 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"135","0.870835","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","555","Application Data"
"136","0.870836","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=55596 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"137","0.870837","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=56846 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"138","0.870838","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=58096 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"139","0.870839","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","322","Application Data"
"140","0.870840","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=59614 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"141","0.870841","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=60864 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"142","0.870843","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=62114 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"143","0.870844","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","555","Application Data"
"144","0.871064","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","137","Application Data"
"145","0.871200","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","138","Application Data"
"146","0.871291","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","142","Application Data"
"147","0.871404","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","142","Application Data"
"148","0.871808","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=63865 Ack=1266 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"149","0.871811","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","626","Application Data, Application Data"
"150","0.871921","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=2016 Ack=65687 Win=131072 Len=0"
"155","0.873723","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54376 [ACK] Seq=65687 Ack=1514 Win=32768 Len=0"
"156","0.873724","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54378 [ACK] Seq=1 Ack=518 Win=30720 Len=0"
"157","0.873726","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","141","Application Data"
"158","0.874042","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","133","Application Data"
"159","0.874174","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54376 [ACK] Seq=65687 Ack=1928 Win=32768 Len=0"
"160","0.874344","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","136","Application Data"
"161","0.874592","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","173","Application Data"
"162","0.874844","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","126","Application Data"
"166","0.876610","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Server Hello, Change Cipher Spec, Application Data"
"167","0.876612","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54378 [ACK] Seq=1251 Ack=518 Win=30720 Len=1250 [TCP segment of a reassembled PDU]"
"168","0.876617","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54378 [ACK] Seq=2501 Ack=518 Win=30720 Len=1250 [TCP segment of a reassembled PDU]"
"169","0.876618","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","400","https(443)  >  54378 [PSH, ACK] Seq=3751 Ack=518 Win=30720 Len=346 [TCP segment of a reassembled PDU]"
"170","0.876694","eduroam-int-dhcp-97-88-25.ucl.ac.uk","cds.j3z9t3p6.hwcdn.net","TCP","54","54378  >  https(443) [ACK] Seq=518 Ack=4097 Win=131072 Len=0"
"171","0.879984","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54378 [ACK] Seq=4097 Ack=518 Win=30720 Len=1250 [TCP segment of a reassembled PDU]"
"172","0.881228","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Application Data, Application Data"
"173","0.881230","cds.j3z9t3p6.hwcdn.net","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","74","Application Data"
"174","0.881231","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54376 [ACK] Seq=65687 Ack=2103 Win=32768 Len=0"
"175","0.881231","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54376 [ACK] Seq=65687 Ack=2455 Win=32768 Len=0"
"176","0.881318","eduroam-int-dhcp-97-88-25.ucl.ac.uk","cds.j3z9t3p6.hwcdn.net","TCP","54","54378  >  https(443) [ACK] Seq=518 Ack=6617 Win=131072 Len=0"
"178","0.884893","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=65687 Ack=2455 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"179","0.884903","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","158","Application Data"
"180","0.884904","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","85","Application Data"
"181","0.884905","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=67072 Ack=2455 Win=32768 Len=1250 [TCP segment of a reassembled PDU]"
"182","0.884912","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","307","Application Data"
"183","0.884913","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","85","Application Data"
"184","0.885055","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=2455 Ack=68606 Win=131072 Len=0"
